# NESO System Frequency (historic 1-second data), 9 August 2019 event
# window, 15:51:00-15:59:59 UTC (16:51-16:59 BST).
#
# Source: NESO Data Portal, dataset "system-frequency-data", resource
# "f 2019 8.csv" (August 2019), retrieved 2026-07-03 from
# https://api.neso.energy/dataset/cb1cc925-ecd8-4406-b021-3a3f368196e1/resource/819a0821-cc6d-4909-a1ea-7dba5cab0c33/download/f-2019-8.zip
# sha256(zip) = bce1b0d8bbbbbbaa1d8574a43b0352559e0290102bc6787eff0af53d02811d86
# sha256(csv) = 8a519e06951d52438f5a5d178e3ca40ddb1c40d2c6b235835efa6e667d7be6b1
# (both match data/reference/stability-2019-event.toml [sources.neso_frequency_data]).
#
# Licence: NESO Open Data Licence (reuse and redistribution with
# attribution). Contains data licensed from NESO.
#
# Transformation applied: rows for 2019-08-09 16:51:00-16:59:59 local
# (BST, UTC+1) extracted verbatim and timestamps converted to UTC
# (minus one hour); values untouched. 540 rows, 1 Hz sampling, 1 mHz
# resolution. Sampled minimum in this window: 48.787 Hz at
# 15:53:49 UTC (the reference record's measured nadir).
utc_time,frequency_hz
2019-08-09T15:51:00Z,50.013
2019-08-09T15:51:01Z,50.011
2019-08-09T15:51:02Z,50.01
2019-08-09T15:51:03Z,50.006
2019-08-09T15:51:04Z,50.002
2019-08-09T15:51:05Z,49.999
2019-08-09T15:51:06Z,49.996
2019-08-09T15:51:07Z,49.991
2019-08-09T15:51:08Z,49.987
2019-08-09T15:51:09Z,49.985
2019-08-09T15:51:10Z,49.983
2019-08-09T15:51:11Z,49.982
2019-08-09T15:51:12Z,49.982
2019-08-09T15:51:13Z,49.982
2019-08-09T15:51:14Z,49.986
2019-08-09T15:51:15Z,49.992
2019-08-09T15:51:16Z,49.999
2019-08-09T15:51:17Z,50.005
2019-08-09T15:51:18Z,50.012
2019-08-09T15:51:19Z,50.016
2019-08-09T15:51:20Z,50.02
2019-08-09T15:51:21Z,50.023
2019-08-09T15:51:22Z,50.027
2019-08-09T15:51:23Z,50.03
2019-08-09T15:51:24Z,50.033
2019-08-09T15:51:25Z,50.036
2019-08-09T15:51:26Z,50.038
2019-08-09T15:51:27Z,50.04
2019-08-09T15:51:28Z,50.043
2019-08-09T15:51:29Z,50.046
2019-08-09T15:51:30Z,50.049
2019-08-09T15:51:31Z,50.051
2019-08-09T15:51:32Z,50.053
2019-08-09T15:51:33Z,50.054
2019-08-09T15:51:34Z,50.057
2019-08-09T15:51:35Z,50.057
2019-08-09T15:51:36Z,50.059
2019-08-09T15:51:37Z,50.062
2019-08-09T15:51:38Z,50.063
2019-08-09T15:51:39Z,50.066
2019-08-09T15:51:40Z,50.067
2019-08-09T15:51:41Z,50.069
2019-08-09T15:51:42Z,50.069
2019-08-09T15:51:43Z,50.07
2019-08-09T15:51:44Z,50.068
2019-08-09T15:51:45Z,50.067
2019-08-09T15:51:46Z,50.062
2019-08-09T15:51:47Z,50.058
2019-08-09T15:51:48Z,50.052
2019-08-09T15:51:49Z,50.045
2019-08-09T15:51:50Z,50.042
2019-08-09T15:51:51Z,50.04
2019-08-09T15:51:52Z,50.038
2019-08-09T15:51:53Z,50.035
2019-08-09T15:51:54Z,50.033
2019-08-09T15:51:55Z,50.032
2019-08-09T15:51:56Z,50.035
2019-08-09T15:51:57Z,50.034
2019-08-09T15:51:58Z,50.035
2019-08-09T15:51:59Z,50.034
2019-08-09T15:52:00Z,50.035
2019-08-09T15:52:01Z,50.036
2019-08-09T15:52:02Z,50.034
2019-08-09T15:52:03Z,50.029
2019-08-09T15:52:04Z,50.027
2019-08-09T15:52:05Z,50.025
2019-08-09T15:52:06Z,50.025
2019-08-09T15:52:07Z,50.026
2019-08-09T15:52:08Z,50.025
2019-08-09T15:52:09Z,50.022
2019-08-09T15:52:10Z,50.02
2019-08-09T15:52:11Z,50.016
2019-08-09T15:52:12Z,50.012
2019-08-09T15:52:13Z,50.007
2019-08-09T15:52:14Z,50.003
2019-08-09T15:52:15Z,49.999
2019-08-09T15:52:16Z,49.997
2019-08-09T15:52:17Z,49.995
2019-08-09T15:52:18Z,49.997
2019-08-09T15:52:19Z,49.999
2019-08-09T15:52:20Z,50.005
2019-08-09T15:52:21Z,50.009
2019-08-09T15:52:22Z,50.012
2019-08-09T15:52:23Z,50.014
2019-08-09T15:52:24Z,50.015
2019-08-09T15:52:25Z,50.017
2019-08-09T15:52:26Z,50.019
2019-08-09T15:52:27Z,50.015
2019-08-09T15:52:28Z,50.01
2019-08-09T15:52:29Z,50.008
2019-08-09T15:52:30Z,50.006
2019-08-09T15:52:31Z,50.004
2019-08-09T15:52:32Z,49.999
2019-08-09T15:52:33Z,49.995
2019-08-09T15:52:34Z,49.921
2019-08-09T15:52:35Z,49.77
2019-08-09T15:52:36Z,49.633
2019-08-09T15:52:37Z,49.537
2019-08-09T15:52:38Z,49.468
2019-08-09T15:52:39Z,49.428
2019-08-09T15:52:40Z,49.372
2019-08-09T15:52:41Z,49.331
2019-08-09T15:52:42Z,49.294
2019-08-09T15:52:43Z,49.272
2019-08-09T15:52:44Z,49.274
2019-08-09T15:52:45Z,49.225
2019-08-09T15:52:46Z,49.205
2019-08-09T15:52:47Z,49.197
2019-08-09T15:52:48Z,49.173
2019-08-09T15:52:49Z,49.151
2019-08-09T15:52:50Z,49.136
2019-08-09T15:52:51Z,49.131
2019-08-09T15:52:52Z,49.126
2019-08-09T15:52:53Z,49.141
2019-08-09T15:52:54Z,49.141
2019-08-09T15:52:55Z,49.085
2019-08-09T15:52:56Z,49.107
2019-08-09T15:52:57Z,49.117
2019-08-09T15:52:58Z,49.12
2019-08-09T15:52:59Z,49.083
2019-08-09T15:53:00Z,49.128
2019-08-09T15:53:01Z,49.105
2019-08-09T15:53:02Z,49.1
2019-08-09T15:53:03Z,49.152
